lot_status_finished,lot_status_released,contract_date,contract_type,product_name,elevation_name,drafting_drafter,drafting_assigned_on,drafting_finished,engineering_engineer,engineering_sent,engineering_received,plat_engineer,plat_sent,plat_received,permitting_county_name,permitting_submitted,permitting_received,homesiting_completed_by,homesiting_completed_on,bbp_posted,notes
True,False,2024-02-29,Contract,Fulton,BSE - Arts & Crafts,R.Arias,2024-04-24,2024-04-27,Struc Tech,2024-05-02,2024-05-16,EDA,2024-05-02,2024-05-13,Goochland,2024-05-25,2024-07-03,R.Arias,2024-05-28T04:00:00.000Z,2024-07-03,original BBP posted 6/28
True,False,2024-02-29,Contract,Cedar,10 - Traditional,K.Fadl,2024-02-29,2024-03-22,Riverside,2024-03-23,2024-04-05,Gay and Neel,2024-03-26,2024-04-09,Blacksburg,2024-04-25,2024-06-10,R.Arias,2024-03-22T04:00:00.000Z,2024-06-11,
True,False,2024-02-28,Contract,Savannah,A - Folk Victorian,C.Zobel,2024-05-02,2024-05-04,Riverside,2024-05-07,2024-05-21,Gay and Neel,2024-05-08,2024-05-11,Blacksburg,2024-05-24,2024-06-26,R.Arias,2024-05-07T04:00:00.000Z,2024-06-27,
True,False,2024-03-03,Contract,Linden Terrace,30 - Craftsman,R.Arias,2024-03-14,2024-03-21,Struc Tech,2024-03-28,2024-04-13,EDA,2024-03-28,2024-04-04,Goochland,2024-04-12,2024-05-13,R.Arias,2024-04-03T04:00:00.000Z,2024-05-14,
True,False,2024-03-05,SPEC,Linden Terrace,30 - Craftsman,R.Arias,2024-03-05,2024-03-07,HBS,2024-03-09,2024-03-19,Gay and Neel,2024-03-09,2024-03-22,Christiansburg,2023-08-08,2023-11-16,R.Arias,2024-03-06T04:00:00.000Z,2024-04-03,TALL CRAWL OR *BASEMENT*
True,False,2024-03-06,SPEC,Linden III,10 - Traditional,L.Rodgers,2024-03-06,2024-03-30,Riverside,2024-03-27,2024-04-05,Gay and Neel,2024-03-27,2024-04-11,Christiansburg,2024-04-12,2024-05-09,R.Arias,2024-03-22T04:00:00.000Z,2024-05-13,
True,False,2024-03-08,SPEC,Lillie,,L.Rodgers,2024-03-08,2024-03-12,Kempsville,2024-03-13,2024-06-27,Townes,2024-03-13,2024-03-27,Hanover,2024-04-16,2024-06-03,,,2024-06-19,"Late LF change (additional screened porch)
 re-engineered received 6/27"
True,False,2024-03-08,SPEC,Brady,,L.Rodgers,2024-03-08,2024-03-12,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-27,Hanover,2024-04-15,2024-06-03,,,2024-06-19,
True,False,2024-03-08,SPEC,Pearl,,L.Rodgers,2024-03-08,2024-03-11,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-27,Hanover,2024-04-15,2024-06-19,,,2024-06-19,
True,False,2024-03-08,SPEC,Lillie,,L.Rodgers,2024-03-08,2024-03-12,Kempsville,2024-03-13,2024-06-27,Townes,2024-03-13,2024-03-27,Hanover,2024-04-15,2024-06-03,,,2024-06-19,re-engineered w/ rear addition on 6/27
True,False,2024-03-07,SPEC,Lillie,,L.Rodgers,2024-03-07,2024-03-11,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-28,Hanover,2024-04-15,2024-06-03,,,2024-06-20,
True,False,2024-03-07,SPEC,Brady,,L.Rodgers,2024-03-07,2024-03-11,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-28,Hanover,2024-04-15,2024-06-03,,,2024-06-20,
True,False,2024-03-07,SPEC,Pearl,,L.Rodgers,2024-03-07,2024-03-11,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-28,Hanover,2024-04-15,2024-06-19,,,2024-06-20,
True,False,2024-03-07,SPEC,Lillie,,L.Rodgers,2024-03-07,2024-03-11,Kempsville,2024-03-13,2024-03-23,Townes,2024-03-13,2024-03-28,Hanover,2024-04-15,2024-06-03,,,2024-06-20,
True,False,2024-03-07,SPEC,Savannah,BSE - Arts & Crafts,B.James,2024-03-07,2024-03-27,Riverside,2024-03-27,2024-04-11,Gay and Neel,2024-03-27,2024-04-11,Blacksburg,2024-04-22,2024-05-20,R.Arias,2024-03-22T04:00:00.000Z,2024-05-23,
True,False,2024-03-08,SPEC,Westminster,BSE - Arts & Crafts,C.Zobel,2024-04-06,2024-04-25,Riverside,2024-04-26,2024-05-03,Gay and Neel,2024-04-25,2024-05-02,Blacksburg,2024-05-08,2024-06-10,R.Arias,2024-04-24T04:00:00.000Z,2024-06-11,Basement
True,False,2024-03-10,SPEC,Highland,,Y.Wang,2024-03-26,2024-03-30,Riverside,2024-03-21,2024-04-17,Gay and Neel,2024-04-13,2024-04-25,Blacksburg,2024-06-12,,,,2024-06-26,Basement- sent to 3rd Party Review on 24th
True,False,2024-03-09,SPEC,Millcreek,,Y.Wang,2024-03-25,2024-03-30,Riverside,2024-03-21,2024-04-17,Gay and Neel,2024-04-13,2024-04-25,Blacksburg,2024-06-12,,,,2024-06-26,Basement- sent to 3rd Party Review on 24th
True,False,2024-03-09,SPEC,Millcreek,,Y.Wang,2024-03-25,2024-03-29,Riverside,2024-03-29,2024-04-16,Gay and Neel,2024-04-12,2024-04-24,Blacksburg,2024-06-12,,,,2024-06-26,Basement- sent to 3rd Party Review on 24th
True,False,2024-03-08,SPEC,Highland,,Y.Wang,2024-03-26,2024-03-30,Riverside,2024-03-30,2024-04-17,Gay and Neel,2024-04-13,2024-04-25,Blacksburg,2024-06-12,,,,2024-06-26,Basement- sent to 3rd Party Review on 24th
True,False,2024-03-10,Contract,Linden Terrace,30 - Craftsman,C.Zobel,2024-04-05,2024-04-30,HBS,2024-04-30,2024-05-10,EDA,2024-04-30,2024-05-09,Goochland,2024-05-13,2024-08-07,R.Arias,2024-05-16T04:00:00.000Z,2024-08-06,late lifestyles
True,False,2024-03-23,SPEC,Westmoreland,,Y.Wang,2024-03-26,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-22,SPEC,Park,,Y.Wang,2024-03-25,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-22,SPEC,Park,,Y.Wang,2024-03-25,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-22,SPEC,Park,,Y.Wang,2024-03-25,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-22,SPEC,Park,,Y.Wang,2024-03-25,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-22,SPEC,Westmoreland,,Y.Wang,2024-03-25,2024-03-29,HBS,2024-03-29,2024-04-04,Bay Design,2024-04-04,2024-04-15,Henrico,2024-04-15,2024-05-06,,,2024-05-06,
True,False,2024-03-27,Contract,Cedar,20 - Craftsman,C.Zobel,2024-04-05,2024-04-10,Riverside,2024-04-11,2024-04-20,Gay and Neel,2024-04-16,2024-04-25,Christiansburg,2024-04-26,2024-05-09,R.Arias,2024-04-12T04:00:00.000Z,2024-05-10,
True,False,2024-03-25,Contract,Fulton,BSE - Arts & Crafts,B.James,2024-04-16,2024-04-04,Struc Tech,2024-04-04,2024-04-10,EDA,2024-04-04,2024-04-17,Goochland,2024-04-17,2024-05-17,R.Arias,2024-04-23T04:00:00.000Z,2024-05-21,
True,False,2024-03-27,Contract,Fulton,BSE - Arts & Crafts,R.Arias,2024-05-01,2024-05-02,Struc Tech,2024-05-03,2024-05-22,EDA,2024-05-03,2024-05-16,Goochland,2024-05-24,2024-06-13,R.Arias,2024-05-28T04:00:00.000Z,2024-06-14,
True,False,2024-04-02,SPEC,Azalea,20 - Colonial,C.Zobel,2024-04-02,2024-04-06,Kempsville,2024-04-10,2024-04-26,High Mark,2024-04-10,2024-04-11,Chesterfield,2024-05-02,2024-05-09,R.Arias,2024-04-08T04:00:00.000Z,2024-05-10,
True,False,2024-04-03,Contract,Hartford II,B - Craftsman,C.Zobel,2024-05-09,2024-04-13,Struc Tech,2024-04-16,2024-04-18,EDA,2024-04-16,2024-05-01,Hanover,2024-05-02,2024-06-03,,,2024-06-04,
True,False,2024-04-04,Contract,Fulton,A - Colonial,L.Rodgers,2024-04-24,2024-04-26,Struc Tech,2024-04-26,2024-05-04,EDA,2024-04-26,2024-05-07,Goochland,2024-05-13,2024-08-07,R.Arias,2024-05-16T04:00:00.000Z,2024-08-06,
True,False,2024-04-04,Contract,Hartford II,BSE - Arts & Crafts,R.Arias,2024-06-07,2024-06-11,Struc Tech,2024-06-12,2024-06-24,EDA,2024-06-12,2024-06-13,Goochland,2024-06-26,2024-07-26,R.Arias,2024-06-10T04:00:00.000Z,2024-07-29,Accessibility issue
True,False,2024-04-03,Contract,Magnolia,20 - Arts & Crafts,R.Arias,2024-04-19,2024-04-20,Kempsville,2024-04-24,2024-05-02,High Mark,2024-04-24,2024-05-02,Chesterfield,2024-05-07,2024-05-29,R.Arias,2024-04-19T04:00:00.000Z,2024-05-29,
True,False,2024-04-25,Contract,Westminster,BSE - Arts & Crafts,L.Rodgers,2024-04-25,2024-05-02,Riverside,2024-05-02,2024-05-09,Gay and Neel,2024-05-02,2024-05-07,Christiansburg,2024-05-10,2024-06-11,R.Arias,2024-05-07T04:00:00.000Z,2024-06-17,Tall Crawl or Basement
True,False,2024-04-11,SPEC,Magnolia,40 - European,R.Arias,2023-05-22,2023-05-24,Kempsville,2023-05-24,2023-04-06,Koontz,2023-05-24,2023-04-03,Henrico,2023-05-26,2023-06-08,R.Arias,2023-06-12T04:00:00.000Z,2023-06-08,
True,False,2024-04-11,Contract,Corvallis,40 - European,C.Zobel,2024-04-12,2024-04-18,Riverside,2024-04-19,2024-05-01,Gay and Neel,2024-06-24,2024-04-26,Blacksburg,2024-05-08,2024-07-11,R.Arias,2024-04-17T04:00:00.000Z,2024-07-11,
True,False,2024-04-19,Contract,Magnolia,10 - Traditional,L.Rodgers,2024-04-19,2024-04-24,Kempsville,2024-04-25,2024-05-03,Koontz,2024-04-25,2024-05-01,Henrico,2024-05-02,2024-05-17,R.Arias,2024-05-29T04:00:00.000Z,2024-05-20,
True,False,2024-04-04,SPEC,Belmont,10 - Traditional,C.Zobel,2023-12-01,2023-12-06,Struc Tech,2023-12-06,2023-12-08,EDA,2023-12-06,2023-12-12,Goochland,2023-12-12,,,,2023-12-28,Sold April 4th with changes.
True,False,2024-04-09,SPEC,Pearl Terrace,10 - Traditional,R.Arias,2024-04-09,2024-04-11,Riverside,2024-04-11,2024-04-23,Gay and Neel,2024-04-11,2024-04-27,Montgomery,2024-05-16,2024-06-10,R.Arias,2024-04-10T04:00:00.000Z,2024-06-11,
True,False,2024-04-24,Permit & Hold,Bradford,15 - Arts & Crafts,R.Arias,2024-05-03,2024-05-07,Riverside,2024-05-08,2024-05-16,Foresite,2024-05-10,2024-05-17,Montgomery,2024-05-25,2024-07-11,R.Arias,2024-05-09T04:00:00.000Z,2024-07-18,Ext FP chase moved from side wall to rear wall; resent to eng on 05/09 (no delays)
True,False,2024-04-24,Contract,Cedar,Craftsman,L.Rodgers,2024-05-16,2024-05-21,Struc Tech,2024-05-21,2024-06-05,EDA,2024-05-21,2024-05-31,Goochland,2024-06-04,2024-07-07,R.Arias,2024-07-03T04:00:00.000Z,2024-07-10,
True,False,2024-04-25,SPEC,Azalea,20 - Craftsman,R.Arias,2024-04-25,2024-04-30,Struc Tech,2024-05-01,2024-05-10,EDA,2024-05-01,2024-05-11,Hanover,2024-05-11,2024-05-31,R.Arias,2024-05-13T04:00:00.000Z,2024-06-10,"ADDENDUM TO REMOVE FIREPLACE, ADD PED DOOR & ADD CUSTOM PWDR RM. PLANS NEED TO BE RESUBMITTED TO CO."
True,False,2024-04-25,SPEC,Azalea,20 - Arts & Crafts,L.Rodgers,2024-04-25,2024-04-30,Struc Tech,2024-04-30,2024-05-07,EDA,2024-04-30,2024-05-09,Hanover,2024-05-10,2024-06-14,R.Arias,2024-05-13T04:00:00.000Z,2024-06-17,
True,False,2024-05-20,Contract,Linden III,25 - Folk Victorian,C.Zobel,2024-06-03,2024-06-04,Struc Tech,2024-06-04,2024-06-08,EDA,2024-06-04,2024-06-10,Goochland,2024-06-18,2024-08-02,R.Arias,2024-05-28T04:00:00.000Z,2024-08-02,
True,False,2024-06-12,Contract,Fulton,A - Colonial,L.Rodgers,2024-06-18,2024-06-26,Struc Tech,2024-06-27,2024-07-10,EDA,2024-06-27,2024-07-09,Goochland,2024-07-11,2024-07-29,R.Arias,2024-07-08T04:00:00.000Z,2024-07-30,spec moved after permit- late lifestyle adjustment after signed one
True,False,2024-03-27,Contract,The Palmetto,,K.Fadl,2024-04-11,2024-03-30,HBS,2024-04-13,2024-04-25,EDA,2024-04-16,2024-04-20,Goochland,2024-04-25,2024-05-23,,,2024-05-23,Rev plat set sent 07-26
True,False,2024-08-07,Contract,Belmont,10 - Traditional,C.Zobel,2024-08-17,2024-08-30,Struc Tech,2024-08-31,2024-09-10,EDA,2024-08-31,2024-09-06,Goochland,2024-09-10,2024-09-27,R.Arias,2024-09-17T04:00:00.000Z,2024-09-30,"COMPLETED ON JULY 5H (FULTON) BBPS
Moved to Lot 52 with additional lifestyles.
8/5 SOLD AS A BELMONT."
False,False,2024-04-26,SPEC,Arlington,,Y.Wang,2024-05-04,2024-05-24,HBS,2024-05-24,2024-06-24,Balzer,2024-05-23,2024-05-23,Blacksburg,2024-07-11,2024-10-10,,,2024-10-16,
True,False,2024-04-28,Contract,Cedar,20 - Craftsman,C.Zobel,2024-05-16,2024-05-16,Riverside,2024-05-18,2024-06-11,Gay and Neel,2024-05-18,2024-05-25,Montgomery,2024-06-13,2024-07-15,R.Arias,2024-05-17T04:00:00.000Z,2024-07-15,
True,False,2024-05-01,Contract,Linden III,10 - Traditional,L.Rodgers,2024-05-01,2024-05-02,Riverside,2024-05-02,2024-05-09,Gay and Neel,2024-05-02,2024-05-09,Montgomery,2024-05-16,2024-06-10,R.Arias,2024-05-01T04:00:00.000Z,2024-06-26,Late Lifestyle change after Permit received- no BBPs
True,False,2024-05-02,Permit & Hold,Azalea Ranch,10 - Traditional,L.Rodgers,,2024-05-07,Kempsville,2024-05-07,2024-05-15,High Mark,2024-05-07,2024-05-23,Chesterfield,2024-05-24,2024-05-30,R.Arias,2024-05-07T04:00:00.000Z,2024-05-31,
True,False,2024-05-02,Contract,Belmont,10 - Traditional,L.Rodgers,,2024-05-17,Struc Tech,2024-05-17,2024-05-31,EDA,2024-05-17,2024-05-24,Goochland,2024-06-04,,R.Arias,2024-07-05T04:00:00.000Z,2024-07-10,
True,False,2024-05-29,SPEC,Savannah,B - Craftsman,L.Rodgers,2024-06-18,2024-06-18,Struc Tech,2024-06-18,2024-07-03,EDA,2024-06-18,2024-07-03,Hanover,2024-07-17,2024-08-02,R.Arias,2024-07-05T04:00:00.000Z,2024-08-05,original spec released -redo
True,False,2024-05-02,Permit & Hold,Hartford Terrace,,C.Zobel,,2024-05-10,HBS,2024-05-11,2024-05-21,EDA,2024-05-11,2024-05-20,Goochland,2024-05-29,2024-08-07,R.Arias,2024-07-08T04:00:00.000Z,2024-08-06,
True,False,2024-05-03,Permit & Hold,Belmont Terrace,,C.Zobel,,2024-05-09,HBS,2024-05-11,2024-05-23,EDA,2024-05-11,2024-05-21,Goochland,2024-05-29,2024-08-07,R.Arias,2024-07-08T04:00:00.000Z,2024-08-06,P/A 6/17; new model and needs redrafting.
False,False,2024-06-21,Permit & Hold,Highland,,L.Rodgers,2024-06-24,2024-09-04,Riverside,2024-09-05,2024-09-19,Foresite,2024-09-05,2024-09-16,Montgomery,,,,,,
False,False,2024-06-21,Permit & Hold,Millcreek,,L.Rodgers,2024-06-24,2024-09-04,Riverside,2024-09-05,2024-09-19,Foresite,2024-09-05,2024-09-16,Montgomery,,,,,,
False,False,2024-06-21,Permit & Hold,Millcreek,,L.Rodgers,2024-06-24,2024-09-03,Riverside,2024-09-04,2024-09-19,Foresite,2024-09-04,2024-09-16,Montgomery,,,,,,
False,False,2024-06-21,Permit & Hold,Highland,,L.Rodgers,2024-06-24,2024-09-03,Riverside,2024-09-04,2024-09-19,Foresite,2024-09-04,2024-09-16,Montgomery,,,,,,
True,False,2024-05-09,Contract,Magnolia,10 - Traditional,L.Rodgers,2024-05-21,2024-05-31,Kempsville,2024-05-31,2024-06-19,High Mark,2024-05-31,2024-06-20,Chesterfield,2024-06-19,2024-06-26,R.Arias,2024-05-31T04:00:00.000Z,2024-06-26,
False,False,2024-05-08,Permit & Hold,Highland,,L.Rodgers,2024-05-09,2024-07-16,Riverside,2024-07-16,2024-07-31,Foresite,2024-07-16,2024-07-24,Montgomery,2024-10-30,2024-11-22,,,2024-11-26,
False,False,2024-05-08,Permit & Hold,Millcreek,,L.Rodgers,2024-05-09,2024-07-16,Riverside,2024-07-16,2024-07-31,Foresite,2024-07-16,2024-07-24,Montgomery,2024-10-30,2024-11-22,,,2024-11-26,
False,False,2024-05-08,Permit & Hold,Millcreek,,L.Rodgers,2024-05-09,2024-07-16,Riverside,2024-07-16,2024-07-31,Foresite,2024-07-16,2024-07-24,Montgomery,2024-10-30,2024-11-22,,,2024-11-26,
False,False,2024-05-08,Permit & Hold,Highland,,L.Rodgers,2024-05-09,2024-07-16,Riverside,2024-07-16,2024-07-31,Foresite,2024-07-16,2024-07-24,Montgomery,2024-10-30,2024-11-22,,,2024-11-26,
True,False,2024-05-08,SPEC,Azalea,10 - Traditional,L.Rodgers,,2024-05-14,Kempsville,2024-05-14,2024-05-28,Koontz,2024-05-14,2024-05-20,Henrico,2024-05-28,2024-06-06,R.Arias,2024-06-10T04:00:00.000Z,2024-06-10,Azaela Ranch
False,False,2024-05-09,Permit & Hold,Magnolia,20 - Arts & Crafts,L.Rodgers,2024-05-10,2024-05-14,Kempsville,2024-05-14,2024-05-28,High Mark,2024-05-14,2024-05-24,Chesterfield,2024-05-28,2024-06-05,R.Arias,2024-05-09T04:00:00.000Z,2024-06-06,
False,False,2024-05-09,Permit & Hold,Azalea Ranch,10 - Traditional,C.Zobel,2024-05-10,2024-05-15,Kempsville,2024-05-18,2024-05-29,High Mark,2024-05-18,2024-05-24,Chesterfield,2024-05-31,2024-06-05,R.Arias,2024-05-17T04:00:00.000Z,2024-06-06,
False,False,2024-05-08,Contract,Highland,,Y.Wang,2024-07-01,2024-06-20,Riverside,2024-06-21,2024-07-04,Foresite,2024-06-21,2024-07-04,Montgomery,2024-09-11,2024-10-01,,,2024-10-02,BASEMENT
